Symbol,Tipo,Fecha,Precio_Entrada,Stop_Loss_Inicial,Precio_Salida,Resultado,PnL_Absoluto,Retorno_Pct,Comision_Total,Descripcion,Fecha de operacion,Precio,Stop_loss,Nuevo_SL
NVDA,ACT_SL,2021-08-30 00:00:00,N/A,17.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.24
NVDA,ACT_SL,2021-10-18 00:00:00,N/A,17.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.31
NVDA,ACT_SL,2021-10-25 00:00:00,N/A,17.31,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.24
NVDA,ACT_SL,2021-11-01 00:00:00,N/A,19.24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.5
NVDA,ACT_SL,2021-11-08 00:00:00,N/A,23.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.18
NVDA,ACT_SL,2021-11-15 00:00:00,N/A,24.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.76
NVDA,ACT_SL,2021-11-22 00:00:00,N/A,24.76,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.94
NVDA,VENTA StopLoss,2022-01-17 00:00:00,6.07,25.94,23.33,Cerrada,511327.5,284.35,0,N/A,N/A,N/A,N/A,N/A
NVDA,COMPRA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,COMPRA (Tecnica: EMA Lenta Ascendente),2022-01-24 00:00:00,22.8,17.1,N/A
NVDA,ACT_SL,2022-01-31 00:00:00,N/A,17.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.33
NVDA,ACT_SL,2022-02-07 00:00:00,N/A,19.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.15
