fiscalDateEnding;Symbol;totalRevenue;goodwill;ebit;Diluted EPS;Net Income
2024-06-30;EXPO;;;;;
2024-09-30;EXPO;;8607000.0;25847000.0;0.5;26044000.0
2024-12-31;EXPO;;8607000.0;27253000.0;0.46;23589000.0
2025-03-31;EXPO;;8607000.0;44432000.0;0.52;26650000.0
2025-06-30;EXPO;;8607000.0;17177000.0;0.52;26553000.0
2025-09-30;EXPO;;8607000.0;29038000.0;0.55;28044000.0
;EXPO;;;;;
