fiscalDateEnding;Symbol;totalRevenue;goodwill;ebit;Diluted EPS;Net Income
2024-03-31;PAYC;;;;;
2024-06-30;PAYC;;;;;
2024-09-30;PAYC;;51889000.0;109103000.0;1.31;73278000.0
2024-12-31;PAYC;;51900000.0;152547000.0;2.02;113565000.0
2025-03-31;PAYC;;51900000.0;191100000.0;2.48;139400000.0
2025-06-30;PAYC;;51900000.0;118000000.0;1.58;89500000.0
2025-09-30;PAYC;;51900000.0;153900000.0;1.96;110700000.0
;PAYC;;;;;
