Date,Close,High,Low,Open,Volume,Symbol
2020-12-14,85.91,87.99,85.37,87.98,143092000,GOOG
2020-12-21,86.3,86.75,84.32,85.04,82914000,GOOG
2020-12-28,86.94,88.95,85.64,86.93,100208000,GOOG
2021-01-04,89.69,89.82,84.32,87.22,199298000,GOOG
2021-01-11,86.16,89.05,85.44,88.64,123650000,GOOG
2021-01-18,94.34,96.02,86.42,86.96,151218000,GOOG
2021-01-25,91.1,95.76,89.78,95.32,187488000,GOOG
2021-02-01,104.12,105.04,91.86,91.99,227630000,GOOG
2021-02-08,104.42,105.39,102.39,104.51,101374000,GOOG
2021-02-15,104.27,106.83,104.09,104.43,95674000,GOOG
2021-02-22,101.08,104.26,99.36,102.58,163902000,GOOG
2021-03-01,104.64,105.12,99.75,102.06,166730000,GOOG
2021-03-08,102.33,105.65,100.33,104.27,151564000,GOOG
2021-03-15,101.4,105.39,100.13,102.35,155300000,GOOG
2021-03-22,101.02,103.14,99.79,101.33,147764000,GOOG
2021-03-29,106.09,106.35,100.03,100.64,108506000,GOOG
2021-04-05,113.44,113.6,106.78,106.85,144210000,GOOG
2021-04-12,114.03,114.47,111.09,112.47,124916000,GOOG
2021-04-19,114.9,115.43,111.98,113.75,120158000,GOOG
2021-04-26,119.61,121.71,114.36,115.13,191230000,GOOG
2021-05-03,119.04,120.08,114.72,119.24,134604000,GOOG
2021-05-10,114.95,118.01,110.67,117.86,146344000,GOOG
2021-05-17,116.38,117.57,112.33,114.61,103158000,GOOG
2021-05-24,119.68,121.24,117.13,117.47,125008000,GOOG
2021-05-31,121.68,121.78,118.25,120.2,80618000,GOOG
2021-06-07,124.76,125.41,121.15,121.65,125510000,GOOG
2021-06-14,124.63,126.25,123.23,124.73,150110000,GOOG
2021-06-21,126.05,126.84,124.2,124.8,119352000,GOOG
2021-06-28,127.76,127.89,123.83,126.05,111346000,GOOG
2021-07-05,128.61,129.67,127.09,128.49,72916000,GOOG
2021-07-12,130.86,132.01,128.64,128.87,82916000,GOOG
2021-07-19,136.79,137.78,127.58,130.18,99522000,GOOG
2021-07-26,134.21,138.97,133.81,137.22,163142000,GOOG
2021-08-02,136.02,136.06,133.18,134.48,81158000,GOOG
2021-08-09,137.38,137.81,135.41,135.93,70838000,GOOG
2021-08-16,137.41,137.96,134.35,136.97,88106000,GOOG
2021-08-23,143.47,143.93,137.72,137.96,88538000,GOOG
2021-08-30,143.7,145.73,142.44,143.63,100444000,GOOG
2021-09-06,140.86,144.93,140.69,143.67,78350000,GOOG
2021-09-13,140.41,144.5,140.01,142.13,140072000,GOOG
2021-09-20,141.57,141.84,136.03,137.97,107338000,GOOG
2021-09-27,135.45,141.44,132.01,140.53,151054000,GOOG
2021-10-04,139.01,139.27,130.19,134.69,112594000,GOOG
2021-10-11,140.62,141.14,135.24,138.76,98176000,GOOG
2021-10-18,137.59,143.17,136.15,140.16,94852000,GOOG
2021-10-25,147.17,148.01,135.73,137.78,162562000,GOOG
2021-11-01,148.13,149.45,142.51,147.06,116416000,GOOG
2021-11-08,148.53,149.91,144.24,148.88,87484000,GOOG
2021-11-15,148.84,150.72,147.25,148.88,95216000,GOOG
2021-11-22,141.74,149.62,141.42,149.02,76190000,GOOG
2021-11-29,141.46,145.77,139.93,143.22,144280000,GOOG
2021-12-06,147.57,148.49,139.6,142.51,104634000,GOOG
2021-12-13,141.74,147.46,140.73,147.34,146966000,GOOG
2021-12-20,146.05,147.47,139.21,139.63,72068000,GOOG
2021-12-27,143.6,147.32,143.6,146.37,79178000,GOOG
2022-01-03,135.98,145.52,134.78,143.4,146242000,GOOG
2022-01-10,138.75,142.12,132.15,134.09,131632000,GOOG
2022-01-17,129.12,137.37,129.03,135.58,112028000,GOOG
2022-01-24,132.3,132.38,123.71,125.09,191552000,GOOG
2022-01-31,141.95,150.97,131.29,133.2,281164000,GOOG
2022-02-07,133.13,142.78,132.3,142.64,179320000,GOOG
2022-02-14,129.5,136.92,129.34,132.37,141806000,GOOG
2022-02-21,133.52,134.38,123.84,129.02,134740000,GOOG
2022-02-28,131.14,135.7,129.44,132.29,122508000,GOOG
2022-03-07,129.5,133.2,124.92,130.92,157552000,GOOG
2022-03-14,135.78,135.89,125.47,129.6,162498000,GOOG
2022-03-21,140.47,140.9,133.61,135.83,121524000,GOOG
2022-03-28,139.65,143.09,137.76,139.64,126494000,GOOG
2022-04-04,133.01,142.97,132.76,139.78,97788000,GOOG
2022-04-11,126.31,131.95,126.17,131.91,90218000,GOOG
2022-04-18,118.72,130.94,118.25,126.46,136816000,GOOG
2022-04-25,114.11,122.36,112.28,118.54,216638000,GOOG
2022-05-02,114.8,122.23,112.56,113.06,163128000,GOOG
2022-05-09,115.65,117.21,109.29,112.46,173382000,GOOG
2022-05-16,108.5,116.35,105.58,114.53,139618000,GOOG
2022-05-23,111.96,112.03,101.45,109.28,190056000,GOOG
2022-05-30,113.71,117.02,111.73,112.24,132456000,GOOG
2022-06-06,110.6,118.51,110.04,115.87,127210000,GOOG
2022-06-13,107.06,111.23,104.84,106.65,174258000,GOOG
2022-06-20,117.66,117.75,108.48,108.89,126764000,GOOG
2022-06-27,108.27,118.36,106.31,118.05,148774000,GOOG
2022-07-04,119.27,119.54,105.46,106.71,126516000,GOOG
2022-07-11,111.93,117.91,108.51,117.77,157342000,GOOG
2022-07-18,107.55,115.46,106.8,112.6,162849500,GOOG
2022-07-25,115.77,116.03,103.98,108.07,161031100,GOOG
2022-08-01,117.34,118.61,113.41,114.67,97443400,GOOG
2022-08-08,121.74,121.74,115.69,118.23,85775100,GOOG
2022-08-15,117.24,122.34,116.79,121.3,84579400,GOOG
2022-08-22,110.47,116.9,110.39,115.24,96331300,GOOG
2022-08-29,107.87,111.13,107.33,109.96,110234800,GOOG
2022-09-05,110.95,111.17,105.72,107.33,86945900,GOOG
2022-09-12,102.86,111.8,101.1,111.16,165898700,GOOG
2022-09-19,98.43,103.25,97.28,101.78,117266800,GOOG
2022-09-26,95.43,100.65,95.32,97.88,119479200,GOOG
2022-10-03,98.83,102.96,96.3,96.5,107302500,GOOG
2022-10-10,96.46,100.54,94.56,99.11,110928000,GOOG
2022-10-17,100.72,103.44,97.5,98.78,120609600,GOOG
2022-10-24,95.86,104.32,91.22,101.33,215828700,GOOG
2022-10-31,86.05,95.63,82.83,95.07,205326600,GOOG
2022-11-07,96.01,96.64,86.31,86.69,156756100,GOOG
2022-11-14,97.07,99.67,94.4,94.79,127449900,GOOG
2022-11-21,96.87,98.33,93.71,96.83,63702500,GOOG
2022-11-28,100.08,101.83,93.69,96.48,120675600,GOOG
2022-12-05,92.38,100.99,92.33,99.07,114959500,GOOG
2022-12-12,90.18,99.06,89.34,92.4,165406600,GOOG
2022-12-19,89.14,90.52,86.29,90.2,106804800,GOOG
2022-12-26,88.07,88.83,85.73,88.65,70821500,GOOG
2023-01-02,87.5,90.87,84.93,89.16,97533700,GOOG
2023-01-09,92.11,92.29,86.05,88.53,113236000,GOOG
2023-01-16,98.54,98.68,90.16,92.09,124989900,GOOG
2023-01-23,99.96,100.82,94.55,98.39,143746600,GOOG
2023-01-30,104.44,108.01,96.79,98.01,156510500,GOOG
2023-02-06,94.15,107.86,93.16,101.92,279981700,GOOG
2023-02-13,93.89,97.15,91.96,94.3,189331400,GOOG
2023-02-20,88.68,92.72,88.2,92.55,121977600,GOOG
2023-02-27,93.32,93.41,88.85,89.42,133166200,GOOG
2023-03-06,90.33,95.58,90.12,93.66,135073900,GOOG
2023-03-13,101.7,102.72,89.27,89.89,232819600,GOOG
2023-03-20,105.27,106.71,100.04,100.31,148115600,GOOG
2023-03-27,103.23,104.62,99.53,104.54,129573000,GOOG
2023-04-03,108.09,108.81,101.62,101.91,97645500,GOOG
2023-04-10,108.65,108.76,104.19,106.59,103633800,GOOG
2023-04-17,105.12,106.25,103.03,104.65,108311100,GOOG
2023-04-24,107.41,108.34,102.5,105.26,152080300,GOOG
2023-05-01,105.42,107.87,103.72,106.92,98876900,GOOG
2023-05-08,117.04,117.56,105.0,105.01,177990800,GOOG
2023-05-15,122.33,125.54,115.61,115.62,138421000,GOOG
